"PassengerId","Survived","Pclass","Sex","Age","SibSp","Parch","Fare","Embarked"
5,0,3,2,35,0,0,8.05,4
16,1,2,1,55,0,0,16,4
24,1,1,2,28,0,0,35.5,4
52,0,3,2,21,0,0,7.8,4
53,1,1,1,49,1,0,76.7292,2
57,1,2,1,21,0,0,10.5,4
67,1,2,1,29,0,0,10.5,4
73,0,2,2,21,0,0,73.5,4
76,0,3,2,25,0,0,7.65,4
89,1,1,1,23,3,2,263,4
92,0,3,2,20,0,0,7.8542,4
100,0,2,2,34,1,0,26,4
101,0,3,1,28,0,0,7.8958,4
104,0,3,2,33,0,0,8.6542,4
107,1,3,1,21,0,0,7.65,4
109,0,3,2,38,0,0,7.8958,4
116,0,3,2,21,0,0,7.925,4
121,0,2,2,21,2,0,73.5,4
125,0,1,2,54,0,1,77.2875,4
132,0,3,2,20,0,0,7.05,4
143,1,3,1,24,1,0,15.85,4
150,0,2,2,42,0,0,13,4
151,0,2,2,51,0,0,12.525,4
174,0,3,2,21,0,0,7.925,4
180,0,3,2,36,0,0,0,4
184,1,2,2,1,2,1,39,4
188,1,1,2,45,0,0,26.55,4
190,0,3,2,36,0,0,7.8958,4
209,1,3,1,16,0,0,7.75,3
218,0,2,2,42,1,0,27,4
228,0,3,2,20.5,0,0,7.25,4
238,1,2,1,8,0,2,26.25,4
246,0,1,2,44,2,0,90,3
249,1,1,2,37,1,1,52.5542,4
266,0,2,2,36,0,0,10.5,4
276,1,1,1,63,1,0,77.9583,4
279,0,3,2,7,4,1,29.125,3
281,0,3,2,65,0,0,7.75,3
284,1,3,2,19,0,0,8.05,4
288,0,3,2,22,0,0,7.8958,4
290,1,3,1,22,0,0,7.75,3
292,1,1,1,19,1,0,91.0792,2
303,0,3,2,19,0,0,0,4
306,1,1,2,0.92,1,2,151.55,4
315,0,2,2,43,1,1,26.25,4
319,1,1,1,31,0,2,164.8667,4
328,1,2,1,36,0,0,13,4
333,0,1,2,38,0,1,153.4625,4
337,0,1,2,29,1,0,66.6,4
347,1,2,1,40,0,0,13,4
349,1,3,2,3,1,1,15.9,4
351,0,3,2,23,0,0,9.225,4
356,0,3,2,28,0,0,9.5,4
357,1,1,1,22,0,1,55,4
367,1,1,1,60,1,0,75.25,2
401,1,3,2,39,0,0,7.925,4
409,0,3,2,21,0,0,7.775,4
418,1,2,1,18,0,2,13,4
423,0,3,2,29,0,0,7.875,4
441,1,2,1,45,1,1,26.25,4
446,1,1,2,4,0,2,81.8583,4
459,1,2,1,50,0,0,10.5,4
461,1,1,2,48,0,0,26.55,4
473,1,2,1,33,1,2,27.75,4
483,0,3,2,50,0,0,8.05,4
489,0,3,2,30,0,0,8.05,4
509,0,3,2,28,0,0,22.525,4
510,1,3,2,26,0,0,56.4958,4
513,1,1,2,36,0,0,26.2875,4
521,1,1,1,30,0,0,93.5,4
524,1,1,1,44,0,1,57.9792,2
527,1,2,1,50,0,0,10.5,4
530,0,2,2,23,2,1,11.5,4
542,0,3,1,9,4,2,31.275,4
546,0,1,2,64,0,0,26,4
554,1,3,2,22,0,0,7.225,2
559,1,1,1,39,1,1,79.65,4
567,0,3,2,19,0,0,7.8958,4
575,0,3,2,16,0,0,8.05,4
596,0,3,2,36,1,1,24.15,4
610,1,1,1,40,0,0,153.4625,4
615,0,3,2,35,0,0,8.05,4
618,0,3,1,26,1,0,16.1,4
620,0,2,2,26,0,0,10.5,4
637,0,3,2,32,0,0,7.925,4
643,0,3,1,2,3,2,27.9,4
661,1,1,2,50,2,0,133.65,4
662,0,3,2,40,0,0,7.225,2
673,0,2,2,70,0,0,10.5,4
677,0,3,2,24.5,0,0,8.05,4
680,1,1,2,36,0,1,512.3292,2
687,0,3,2,14,4,1,39.6875,4
691,1,1,2,31,1,0,57,4
695,0,1,2,60,0,0,26.55,4
704,0,3,2,25,0,0,7.7417,3
720,0,3,2,33,0,0,7.775,4
721,1,2,1,6,0,1,33,4
722,0,3,2,17,1,0,7.0542,4
723,0,2,2,34,0,0,13,4
730,0,3,1,25,1,0,7.925,4
735,0,2,2,23,0,0,13,4
747,0,3,2,16,1,1,20.25,4
751,1,2,1,4,1,1,23,4
772,0,3,2,48,0,0,7.8542,4
773,0,2,1,57,0,0,10.5,4
781,1,3,1,13,0,0,7.2292,2
792,0,2,2,16,0,0,26,4
796,0,2,2,39,0,0,13,4
813,0,2,2,35,0,0,10.5,4
817,0,3,1,23,0,0,7.925,4
818,0,2,2,31,1,1,37.0042,2
821,1,1,1,52,1,1,93.5,4
831,1,3,1,15,1,0,14.4542,2
832,1,2,2,0.83,1,1,18.75,4
836,1,1,1,39,1,1,83.1583,2
843,1,1,1,30,0,0,31,2
870,1,3,2,4,1,1,11.1333,4
873,0,1,2,33,0,0,5,4
883,0,3,1,22,0,0,10.5167,4
884,0,2,2,28,0,0,10.5,4
